"HMDB.ID","Sub_Class","Class"
"HMDB00466","Indoles","Indoles and derivatives"
"HMDB00467","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00468","Pterins and derivatives","Pteridines and derivatives"
"HMDB00469","Pyrimidines and pyrimidine derivatives","Diazines"
"HMDB00472","Tryptamines and derivatives","Indoles and derivatives"
"HMDB00473","Purines and purine derivatives","Imidazopyrimidines"
"HMDB00474","Carbonyl compounds","Organooxygen compounds"
"HMDB00476","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00477","Fatty acids and conjugates","Fatty Acyls"
"HMDB00478","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00479","Amino acids peptides and analogues","Carboxylic acids and derivatives"
"HMDB00481","","4-d]pyrimidine glycosides"
"HMDB00482","Fatty acids and conjugates","Fatty Acyls"
"HMDB00483","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00484","Benzoic acids and derivatives","Benzene and substituted derivatives"
"HMDB00486","Medium-chain hydroxy acids and derivatives","Hydroxy acids and derivatives"
"HMDB00488","Tetrapyrroles and derivatives","Organoheterocyclic compounds"
"HMDB00489","Carbohydrates and carbohydrate conjugates","Organooxygen compounds"
"HMDB00490","Androstane steroids","Steroids and steroid derivatives"
"HMDB00491","Short-chain keto acids and derivatives","Keto acids and derivatives"
"HMDB00492","","Homogeneous halogens"
"HMDB00493","Androstane steroids","Steroids and steroid derivatives"
"HMDB00494","Stigmastanes and derivatives","Steroids and steroid derivatives"
"HMDB00495","Androstane steroids","Steroids and steroid derivatives"
"HMDB00496","Carbohydrates and carbohydrate conjugates","Organooxygen compounds"
"HMDB00497","Carbohydrates and carbohydrate conjugates","Organooxygen compounds"
"HMDB00498","Carbohydrates and carbohydrate conjugates","Organooxygen compounds"
"HMDB00499","Fatty acids and conjugates","Fatty Acyls"
"HMDB00500","Benzoic acids and derivatives","Benzene and substituted derivatives"
"HMDB00501","Cholestane steroids","Steroids and steroid derivatives"
"HMDB00502","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00503","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00505","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00506","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00508","Carbohydrates and carbohydrate conjugates","Organooxygen compounds"
"HMDB00509","Fatty acids and conjugates","Fatty Acyls"
"HMDB00510","Amino acids peptides and analogues","Carboxylic acids and derivatives"
"HMDB00511","Fatty acids and conjugates","Fatty Acyls"
"HMDB00512","Amino acids peptides and analogues","Carboxylic acids and derivatives"
"HMDB00513","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00514","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00516","Carbohydrates and carbohydrate conjugates","Organooxygen compounds"
"HMDB00517","Amino acids peptides and analogues","Carboxylic acids and derivatives"
"HMDB00518","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00520","Cholestane steroids","Steroids and steroid derivatives"
"HMDB00521","Fatty acids and conjugates","Fatty Acyls"
"HMDB00522","Fatty acids and conjugates","Fatty Acyls"
"HMDB00523","Androstane steroids","Steroids and steroid derivatives"
"HMDB00524","Cholestane steroids","Steroids and steroid derivatives"
"HMDB00525","Fatty acids and conjugates","Fatty Acyls"
"HMDB00526","Hydroxysteroids","Steroids and steroid derivatives"
"HMDB00527","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
